State,Year,Educational attainment,Total_Thousands,Value in Thousands
SARAWAK,2016,No formal education,,59
SARAWAK,2016,Primary,,259.2
SARAWAK,2016,Secondary,,685.4
SARAWAK,2016,Tertiary,,256.5
SARAWAK,2017,No formal education,,49.5
SARAWAK,2017,Primary,,229.3
SARAWAK,2017,Secondary,,746.6
SARAWAK,2017,Tertiary,,267.1
SARAWAK,2018,No formal education,,51.2
SARAWAK,2018,Primary,,256.5
SARAWAK,2018,Secondary,,728.3
SARAWAK,2018,Tertiary,,280.7
SARAWAK,2019,No formal education,,47.6
SARAWAK,2019,Primary,,226.4
SARAWAK,2019,Secondary,,767.3
SARAWAK,2019,Tertiary,,305.5
SARAWAK,2020,No formal education,,49.7
SARAWAK,2020,Primary,,201.3
SARAWAK,2020,Secondary,,761.7
SARAWAK,2020,Tertiary,,306.8
SARAWAK,2021,No formal education,,42.2
SARAWAK,2021,Primary,,170.2
SARAWAK,2021,Secondary,,787.4
SARAWAK,2021,Tertiary,,338.8
SELANGOR,2000,No formal education,,32.5
SELANGOR,2000,Primary,,331.2
SELANGOR,2000,Secondary,,951.5
SELANGOR,2000,Tertiary,,399.9
SELANGOR,2001,No formal education,,25.5
SELANGOR,2001,Primary,,246.1
SELANGOR,2001,Secondary,,873.3
SELANGOR,2001,Tertiary,,405.1
SELANGOR,2002,No formal education,,43.3
SELANGOR,2002,Primary,,283
SELANGOR,2002,Secondary,,981.6
SELANGOR,2002,Tertiary,,494.8
SELANGOR,2003,No formal education,,41.2
SELANGOR,2003,Primary,,278
SELANGOR,2003,Secondary,,"1,039.40"
SELANGOR,2003,Tertiary,,536
SELANGOR,2004,No formal education,,46
SELANGOR,2004,Primary,,290.7
SELANGOR,2004,Secondary,,"1,087.80"
SELANGOR,2004,Tertiary,,599.9
SELANGOR,2005,No formal education,,50.4
SELANGOR,2005,Primary,,265
SELANGOR,2005,Secondary,,"1,122.10"
SELANGOR,2005,Tertiary,,610.5
SELANGOR,2006,No formal education,,26.9
SELANGOR,2006,Primary,,253.2
SELANGOR,2006,Secondary,,"1,179.40"
SELANGOR,2006,Tertiary,,624.3
SELANGOR,2007,No formal education,,33.2
SELANGOR,2007,Primary,,249.9
SELANGOR,2007,Secondary,,"1,190.30"
SELANGOR,2007,Tertiary,,646
SELANGOR,2008,No formal education,,53.4
SELANGOR,2008,Primary,,257
SELANGOR,2008,Secondary,,"1,222.00"
SELANGOR,2008,Tertiary,,627.4
SELANGOR,2009,No formal education,,37.5
SELANGOR,2009,Primary,,240.9
SELANGOR,2009,Secondary,,"1,156.70"
SELANGOR,2009,Tertiary,,738.1
SELANGOR,2010,No formal education,,47.7
SELANGOR,2010,Primary,,293.6
SELANGOR,2010,Secondary,,"1,379.80"
SELANGOR,2010,Tertiary,,913.2
SELANGOR,2011,No formal education,,39.3
SELANGOR,2011,Primary,,328.7
SELANGOR,2011,Secondary,,"1,405.20"
SELANGOR,2011,Tertiary,,937.6
SELANGOR,2012,No formal education,,30.6
SELANGOR,2012,Primary,,321.7
SELANGOR,2012,Secondary,,"1,485.20"
SELANGOR,2012,Tertiary,,"1,005.10"
SELANGOR,2013,No formal education,,23.2
SELANGOR,2013,Primary,,337
SELANGOR,2013,Secondary,,"1,573.60"
SELANGOR,2013,Tertiary,,"1,072.50"
SELANGOR,2014,No formal education,,21.7
SELANGOR,2014,Primary,,332.2
SELANGOR,2014,Secondary,,"1,619.70"
SELANGOR,2014,Tertiary,,"1,122.40"
SELANGOR,2015,No formal education,,26.9
SELANGOR,2015,Primary,,365.4
SELANGOR,2015,Secondary,,"1,562.90"
SELANGOR,2015,Tertiary,,"1,257.70"
SELANGOR,2016,No formal education,,28.2
SELANGOR,2016,Primary,,289.4
SELANGOR,2016,Secondary,,"1,757.20"
SELANGOR,2016,Tertiary,,"1,250.20"
SELANGOR,2017,No formal education,,35.5
SELANGOR,2017,Primary,,292.3
SELANGOR,2017,Secondary,,"1,806.90"
SELANGOR,2017,Tertiary,,"1,322.70"
SELANGOR,2018,No formal education,,26
SELANGOR,2018,Primary,,317.5
SELANGOR,2018,Secondary,,"1,915.50"
SELANGOR,2018,Tertiary,,"1,287.30"
SELANGOR,2019,No formal education,,33.1
SELANGOR,2019,Primary,,259.5
SELANGOR,2019,Secondary,,"1,879.80"
SELANGOR,2019,Tertiary,,"1,420.40"
SELANGOR,2020,No formal education,,20.8
SELANGOR,2020,Primary,,187
SELANGOR,2020,Secondary,,1873
SELANGOR,2020,Tertiary,,1521.9
SELANGOR,2021,No formal education,,29
SELANGOR,2021,Primary,,147.1
SELANGOR,2021,Secondary,,2094.6
SELANGOR,2021,Tertiary,,1406.1
TERENGGANU,2000,No formal education,,24.1
TERENGGANU,2000,Primary,,81.2
TERENGGANU,2000,Secondary,,167.2
TERENGGANU,2000,Tertiary,,43
TERENGGANU,2001,No formal education,,18.5
TERENGGANU,2001,Primary,,77.6
TERENGGANU,2001,Secondary,,169.1
TERENGGANU,2001,Tertiary,,41.8
TERENGGANU,2002,No formal education,,14.7
TERENGGANU,2002,Primary,,73.4
TERENGGANU,2002,Secondary,,158.6
TERENGGANU,2002,Tertiary,,42.3
TERENGGANU,2003,No formal education,,19.3
TERENGGANU,2003,Primary,,88.1
TERENGGANU,2003,Secondary,,190.4
TERENGGANU,2003,Tertiary,,57.3
TERENGGANU,2004,No formal education,,17
TERENGGANU,2004,Primary,,81.9
TERENGGANU,2004,Secondary,,189.7
TERENGGANU,2004,Tertiary,,59.2
TERENGGANU,2005,No formal education,,15.1
TERENGGANU,2005,Primary,,80.3
TERENGGANU,2005,Secondary,,192.6
TERENGGANU,2005,Tertiary,,65
TERENGGANU,2006,No formal education,,16.8
TERENGGANU,2006,Primary,,75.4
TERENGGANU,2006,Secondary,,203.5
TERENGGANU,2006,Tertiary,,68.9
TERENGGANU,2007,No formal education,,13.5
TERENGGANU,2007,Primary,,75.1
TERENGGANU,2007,Secondary,,208.2
TERENGGANU,2007,Tertiary,,75.9
TERENGGANU,2008,No formal education,,14.4
TERENGGANU,2008,Primary,,74.1
TERENGGANU,2008,Secondary,,209.7
TERENGGANU,2008,Tertiary,,90.5
TERENGGANU,2009,No formal education,,13.9
TERENGGANU,2009,Primary,,70.3
TERENGGANU,2009,Secondary,,224.1
TERENGGANU,2009,Tertiary,,97.3
TERENGGANU,2010,No formal education,,10.6
TERENGGANU,2010,Primary,,65.7
TERENGGANU,2010,Secondary,,214.3
TERENGGANU,2010,Tertiary,,90.1
TERENGGANU,2011,No formal education,,14.6
TERENGGANU,2011,Primary,,64.2
TERENGGANU,2011,Secondary,,220.6
TERENGGANU,2011,Tertiary,,103.8
TERENGGANU,2012,No formal education,,11.8
TERENGGANU,2012,Primary,,61.2
TERENGGANU,2012,Secondary,,230.5
TERENGGANU,2012,Tertiary,,98.3
TERENGGANU,2013,No formal education,,11.1
TERENGGANU,2013,Primary,,73.2
TERENGGANU,2013,Secondary,,238.4
TERENGGANU,2013,Tertiary,,98.6
TERENGGANU,2014,No formal education,,14.5
TERENGGANU,2014,Primary,,58.1
TERENGGANU,2014,Secondary,,243.3
TERENGGANU,2014,Tertiary,,116.9
TERENGGANU,2015,No formal education,,11.8
TERENGGANU,2015,Primary,,53.5
TERENGGANU,2015,Secondary,,252.3
TERENGGANU,2015,Tertiary,,120.4
TERENGGANU,2016,No formal education,,10.7
TERENGGANU,2016,Primary,,50.3
TERENGGANU,2016,Secondary,,252.1
TERENGGANU,2016,Tertiary,,134.1
TERENGGANU,2017,No formal education,,11.3
TERENGGANU,2017,Primary,,42.4
TERENGGANU,2017,Secondary,,262.1
TERENGGANU,2017,Tertiary,,143
TERENGGANU,2018,No formal education,,13.6
TERENGGANU,2018,Primary,,42.5
TERENGGANU,2018,Secondary,,261
TERENGGANU,2018,Tertiary,,153.2
TERENGGANU,2019,No formal education,,12.8
TERENGGANU,2019,Primary,,43.1
TERENGGANU,2019,Secondary,,270.1
TERENGGANU,2019,Tertiary,,162.2
TERENGGANU,2020,No formal education,,13.3
TERENGGANU,2020,Primary,,38.3
TERENGGANU,2020,Secondary,,277.4
TERENGGANU,2020,Tertiary,,155.9
TERENGGANU,2021,No formal education,,14.8
TERENGGANU,2021,Primary,,24.3
TERENGGANU,2021,Secondary,,300
TERENGGANU,2021,Tertiary,,149.4
W.P.KUALA LUMPUR,2000,No formal education,,9.5
W.P.KUALA LUMPUR,2000,Primary,,91
W.P.KUALA LUMPUR,2000,Secondary,,399.4
W.P.KUALA LUMPUR,2000,Tertiary,,180.6
W.P.KUALA LUMPUR,2001,No formal education,,13.7
W.P.KUALA LUMPUR,2001,Primary,,93.1
W.P.KUALA LUMPUR,2001,Secondary,,395.8
W.P.KUALA LUMPUR,2001,Tertiary,,220.6
W.P.KUALA LUMPUR,2002,No formal education,,7.5
W.P.KUALA LUMPUR,2002,Primary,,117.1
W.P.KUALA LUMPUR,2002,Secondary,,441.5
W.P.KUALA LUMPUR,2002,Tertiary,,250.8
W.P.KUALA LUMPUR,2003,No formal education,,7.6
W.P.KUALA LUMPUR,2003,Primary,,88.2
W.P.KUALA LUMPUR,2003,Secondary,,406
W.P.KUALA LUMPUR,2003,Tertiary,,238.6
W.P.KUALA LUMPUR,2004,No formal education,,11.3
W.P.KUALA LUMPUR,2004,Primary,,83.8
W.P.KUALA LUMPUR,2004,Secondary,,361.4
W.P.KUALA LUMPUR,2004,Tertiary,,235.1
W.P.KUALA LUMPUR,2005,No formal education,,6.4
W.P.KUALA LUMPUR,2005,Primary,,73
W.P.KUALA LUMPUR,2005,Secondary,,381.6
W.P.KUALA LUMPUR,2005,Tertiary,,230.1
W.P.KUALA LUMPUR,2006,No formal education,,9.7
W.P.KUALA LUMPUR,2006,Primary,,74.8
W.P.KUALA LUMPUR,2006,Secondary,,382.8
W.P.KUALA LUMPUR,2006,Tertiary,,228.5
W.P.KUALA LUMPUR,2007,No formal education,,5.3
W.P.KUALA LUMPUR,2007,Primary,,79.5
W.P.KUALA LUMPUR,2007,Secondary,,403
W.P.KUALA LUMPUR,2007,Tertiary,,214.5
W.P.KUALA LUMPUR,2008,No formal education,,6.5
W.P.KUALA LUMPUR,2008,Primary,,70
W.P.KUALA LUMPUR,2008,Secondary,,402
W.P.KUALA LUMPUR,2008,Tertiary,,222.4
W.P.KUALA LUMPUR,2009,No formal education,,5.6
W.P.KUALA LUMPUR,2009,Primary,,68
W.P.KUALA LUMPUR,2009,Secondary,,383.5
W.P.KUALA LUMPUR,2009,Tertiary,,241.2
W.P.KUALA LUMPUR,2010,No formal education,,7.2
W.P.KUALA LUMPUR,2010,Primary,,71.1
W.P.KUALA LUMPUR,2010,Secondary,,441.3
W.P.KUALA LUMPUR,2010,Tertiary,,293.3
W.P.KUALA LUMPUR,2011,No formal education,,7.1
W.P.KUALA LUMPUR,2011,Primary,,89
W.P.KUALA LUMPUR,2011,Secondary,,451.8
W.P.KUALA LUMPUR,2011,Tertiary,,289.7
W.P.KUALA LUMPUR,2012,No formal education,,7.9
W.P.KUALA LUMPUR,2012,Primary,,82
W.P.KUALA LUMPUR,2012,Secondary,,456.9
W.P.KUALA LUMPUR,2012,Tertiary,,296.1
W.P.KUALA LUMPUR,2013,No formal education,,9.1
W.P.KUALA LUMPUR,2013,Primary,,76.6
W.P.KUALA LUMPUR,2013,Secondary,,506.8
W.P.KUALA LUMPUR,2013,Tertiary,,314.7
W.P.KUALA LUMPUR,2014,No formal education,,8.3
W.P.KUALA LUMPUR,2014,Primary,,68.8
W.P.KUALA LUMPUR,2014,Secondary,,452
W.P.KUALA LUMPUR,2014,Tertiary,,347.9
W.P.KUALA LUMPUR,2015,No formal education,,3.5
W.P.KUALA LUMPUR,2015,Primary,,60.5
W.P.KUALA LUMPUR,2015,Secondary,,459
W.P.KUALA LUMPUR,2015,Tertiary,,359.6
W.P.KUALA LUMPUR,2016,No formal education,,2.6
W.P.KUALA LUMPUR,2016,Primary,,51.2
W.P.KUALA LUMPUR,2016,Secondary,,436.4
W.P.KUALA LUMPUR,2016,Tertiary,,365.2
W.P.KUALA LUMPUR,2017,No formal education,,5.6
W.P.KUALA LUMPUR,2017,Primary,,51.6
W.P.KUALA LUMPUR,2017,Secondary,,472.4
W.P.KUALA LUMPUR,2017,Tertiary,,341.8
W.P.KUALA LUMPUR,2018,No formal education,,5.4
W.P.KUALA LUMPUR,2018,Primary,,41.6
W.P.KUALA LUMPUR,2018,Secondary,,415.3
W.P.KUALA LUMPUR,2018,Tertiary,,382.6
W.P.KUALA LUMPUR,2019,No formal education,,6.1
W.P.KUALA LUMPUR,2019,Primary,,45.2
W.P.KUALA LUMPUR,2019,Secondary,,458.2
W.P.KUALA LUMPUR,2019,Tertiary,,353.9
W.P.KUALA LUMPUR,2020,No formal education,,9.8
W.P.KUALA LUMPUR,2020,Primary,,50.1
W.P.KUALA LUMPUR,2020,Secondary,,432.9
W.P.KUALA LUMPUR,2020,Tertiary,,417.8
W.P.KUALA LUMPUR,2021,No formal education,,19.5
W.P.KUALA LUMPUR,2021,Primary,,24.6
W.P.KUALA LUMPUR,2021,Secondary,,370.5
W.P.KUALA LUMPUR,2021,Tertiary,,478.8
W.P.LABUAN,2000,No formal education,,1.2
W.P.LABUAN,2000,Primary,,7.5
W.P.LABUAN,2000,Secondary,,15.1
W.P.LABUAN,2000,Tertiary,,2.8
W.P.LABUAN,2001,No formal education,,1.4
W.P.LABUAN,2001,Primary,,5.9
W.P.LABUAN,2001,Secondary,,17.9
W.P.LABUAN,2001,Tertiary,,3.5
W.P.LABUAN,2002,No formal education,,2.1
W.P.LABUAN,2002,Primary,,8
W.P.LABUAN,2002,Secondary,,19.3
W.P.LABUAN,2002,Tertiary,,4.7
W.P.LABUAN,2003,No formal education,,1
W.P.LABUAN,2003,Primary,,7.3
W.P.LABUAN,2003,Secondary,,20
W.P.LABUAN,2003,Tertiary,,5
W.P.LABUAN,2004,No formal education,,2.8
W.P.LABUAN,2004,Primary,,8.1
W.P.LABUAN,2004,Secondary,,17.1
W.P.LABUAN,2004,Tertiary,,5.9
W.P.LABUAN,2005,No formal education,,2.6
W.P.LABUAN,2005,Primary,,7.7
W.P.LABUAN,2005,Secondary,,17.7
W.P.LABUAN,2005,Tertiary,,4.2
W.P.LABUAN,2006,No formal education,,1.8
W.P.LABUAN,2006,Primary,,8.8
W.P.LABUAN,2006,Secondary,,18.5
W.P.LABUAN,2006,Tertiary,,4.5
W.P.LABUAN,2007,No formal education,,2.9
W.P.LABUAN,2007,Primary,,7.6
W.P.LABUAN,2007,Secondary,,18.2
W.P.LABUAN,2007,Tertiary,,5.5
W.P.LABUAN,2008,No formal education,,4
W.P.LABUAN,2008,Primary,,6.4
W.P.LABUAN,2008,Secondary,,18.3
W.P.LABUAN,2008,Tertiary,,5.7
W.P.LABUAN,2009,No formal education,,2.9
W.P.LABUAN,2009,Primary,,6.2
W.P.LABUAN,2009,Secondary,,20.4
W.P.LABUAN,2009,Tertiary,,8.1
W.P.LABUAN,2010,No formal education,,1
W.P.LABUAN,2010,Primary,,5.5
W.P.LABUAN,2010,Secondary,,23.1
W.P.LABUAN,2010,Tertiary,,10.5
W.P.LABUAN,2011,No formal education,,1.6
W.P.LABUAN,2011,Primary,,5.7
W.P.LABUAN,2011,Secondary,,21.7
W.P.LABUAN,2011,Tertiary,,11.3
W.P.LABUAN,2012,No formal education,,1.6
W.P.LABUAN,2012,Primary,,5.7
W.P.LABUAN,2012,Secondary,,21.8
W.P.LABUAN,2012,Tertiary,,12.3
W.P.LABUAN,2013,No formal education,,1.3
W.P.LABUAN,2013,Primary,,5.4
W.P.LABUAN,2013,Secondary,,22.4
W.P.LABUAN,2013,Tertiary,,12.6
W.P.LABUAN,2014,No formal education,,1.5
W.P.LABUAN,2014,Primary,,6
W.P.LABUAN,2014,Secondary,,25
W.P.LABUAN,2014,Tertiary,,10.5
W.P.LABUAN,2015,No formal education,,1.6
W.P.LABUAN,2015,Primary,,4.3
W.P.LABUAN,2015,Secondary,,24.7
W.P.LABUAN,2015,Tertiary,,11
W.P.LABUAN,2016,No formal education,,1.3
W.P.LABUAN,2016,Primary,,4.7
W.P.LABUAN,2016,Secondary,,24.5
W.P.LABUAN,2016,Tertiary,,13.1
W.P.LABUAN,2017,No formal education,,1.3
W.P.LABUAN,2017,Primary,,4.2
W.P.LABUAN,2017,Secondary,,25.2
W.P.LABUAN,2017,Tertiary,,11.3
W.P.LABUAN,2018,No formal education,,1.1
W.P.LABUAN,2018,Primary,,4.2
W.P.LABUAN,2018,Secondary,,25.7
W.P.LABUAN,2018,Tertiary,,13.6
W.P.LABUAN,2019,No formal education,,2.3
W.P.LABUAN,2019,Primary,,3.5
W.P.LABUAN,2019,Secondary,,23.5
W.P.LABUAN,2019,Tertiary,,13.9
W.P.LABUAN,2020,No formal education,,1.8
W.P.LABUAN,2020,Primary,,4
W.P.LABUAN,2020,Secondary,,26
W.P.LABUAN,2020,Tertiary,,14.4
W.P.LABUAN,2021,No formal education,,2.6
W.P.LABUAN,2021,Primary,,3.3
W.P.LABUAN,2021,Secondary,,24.6
W.P.LABUAN,2021,Tertiary,,17.5
W.P.PUTRAJAYA,2011,No formal education,,0
W.P.PUTRAJAYA,2011,Primary,,1.7
W.P.PUTRAJAYA,2011,Secondary,,13.4
W.P.PUTRAJAYA,2011,Tertiary,,26.7
W.P.PUTRAJAYA,2012,No formal education,, -
W.P.PUTRAJAYA,2012,Primary,,1.4
W.P.PUTRAJAYA,2012,Secondary,,13.3
W.P.PUTRAJAYA,2012,Tertiary,,26.2
W.P.PUTRAJAYA,2013,No formal education,,0.1
W.P.PUTRAJAYA,2013,Primary,,1.5
W.P.PUTRAJAYA,2013,Secondary,,12.9
W.P.PUTRAJAYA,2013,Tertiary,,26.6
W.P.PUTRAJAYA,2014,No formal education,, -
W.P.PUTRAJAYA,2014,Primary,,0.7
W.P.PUTRAJAYA,2014,Secondary,,14.7
W.P.PUTRAJAYA,2014,Tertiary,,25.4
W.P.PUTRAJAYA,2015,No formal education,,0.1
W.P.PUTRAJAYA,2015,Primary,,0.5
W.P.PUTRAJAYA,2015,Secondary,,12
W.P.PUTRAJAYA,2015,Tertiary,,26.3
W.P.PUTRAJAYA,2016,No formal education,, -
W.P.PUTRAJAYA,2016,Primary,,0.7
W.P.PUTRAJAYA,2016,Secondary,,11.9
W.P.PUTRAJAYA,2016,Tertiary,,26.4
W.P.PUTRAJAYA,2017,No formal education,, -
W.P.PUTRAJAYA,2017,Primary,,0.9
W.P.PUTRAJAYA,2017,Secondary,,12.1
W.P.PUTRAJAYA,2017,Tertiary,,25.6
W.P.PUTRAJAYA,2018,No formal education,,0
W.P.PUTRAJAYA,2018,Primary,,0.4
W.P.PUTRAJAYA,2018,Secondary,,13.1
W.P.PUTRAJAYA,2018,Tertiary,,25.3
W.P.PUTRAJAYA,2019,No formal education,,-
W.P.PUTRAJAYA,2019,Primary,,0.8
W.P.PUTRAJAYA,2019,Secondary,,12.8
W.P.PUTRAJAYA,2019,Tertiary,,25
W.P.PUTRAJAYA,2020,No formal education,,0
W.P.PUTRAJAYA,2020,Primary,,0.2
W.P.PUTRAJAYA,2020,Secondary,,13.1
W.P.PUTRAJAYA,2020,Tertiary,,23.4
W.P.PUTRAJAYA,2021,No formal education,,0
W.P.PUTRAJAYA,2021,Primary,,0.8
W.P.PUTRAJAYA,2021,Secondary,,14.6
W.P.PUTRAJAYA,2021,Tertiary,,22.4
